Order ID,Subject Address,Subject GLA,Subject Lot Size,Subject Bedrooms,Subject Bathrooms,Subject Property Type,Subject Stories,Effective Date,Comp Rank,Match Score,Candidate Address,Candidate GLA,Candidate Lot Size,Candidate Bedrooms,Candidate Bathrooms,Candidate Property Type,Candidate Stories,Sale Date,GLA Difference,Lot Size Difference,Bedroom Difference,Bathroom Difference,Same Property Type,Same Storey Type,Recent Sale (90 days),Recent Sale (180 days),Property Match Score,Size Similarity
4758996,N/A,1144.0,5823.324,3.0,1.5,Detached,Split Level,2025-04-09,1,63.9%,N/A,1148.0,4413.0,3.0,1.5,Detached,Bungalow,2025-03-19,4 (0.3%),1410 (32.0%),0.0,0.0,1,0,1,1,0.70,0.96
4758996,N/A,1144.0,5823.324,3.0,1.5,Detached,Split Level,2025-04-09,2,42.8%,N/A,991.0,4437.0,3.0,2.0,Detached,Bi-Level,2025-05-08,153 (15.4%),1386 (31.2%),0.0,0.5,1,0,1,1,0.70,0.40
4758996,N/A,1144.0,5823.324,3.0,1.5,Detached,Split Level,2025-04-09,3,18.0%,N/A,1148.0,4133.0,3.0,2.0,Detached,Bungalow,2025-02-08,4 (0.3%),1690 (40.9%),0.0,0.5,1,0,1,1,0.70,0.96
4775785,N/A,2138.0,435600.0,5.0,2.0,Detached,2 Storey,2025-04-30,1,64.0%,N/A,1750.0,70400.0,3.0,2.0,Detached,2 Storey,2025-02-21,388 (22.2%),365200 (518.7%),2.0,0.0,1,1,1,1,1.00,0.20
4775785,N/A,2138.0,435600.0,5.0,2.0,Detached,2 Storey,2025-04-30,2,48.5%,N/A,1500.0,38750.0,3.0,2.0,Detached,2 Storey,2025-01-03,638 (42.5%),396850 (1024.1%),2.0,0.0,1,1,0,1,0.70,0.14
4775785,N/A,2138.0,435600.0,5.0,2.0,Detached,2 Storey,2025-04-30,3,38.7%,N/A,2523.0,212592.0,3.0,3.0,Detached,Bungalow,2024-11-01,385 (15.3%),223008 (104.9%),2.0,1.0,1,0,0,1,0.40,0.21
4775292,N/A,2250.0,435600.0,5.0,3.0,Detached,Bungalow,2025-05-02,1,97.9%,N/A,1704.0,452800.0,3.0,2.5,Detached,2 Storey,2024-11-26,546 (32.0%),17200 (3.8%),2.0,0.5,1,0,0,1,0.40,0.15
4775292,N/A,2250.0,435600.0,5.0,3.0,Detached,Bungalow,2025-05-02,2,84.1%,N/A,1863.0,582008.0,3.0,2.0,Detached,Bungalow,2024-11-24,387 (20.8%),146408 (25.2%),2.0,1.0,1,1,0,1,0.70,0.21
4775292,N/A,2250.0,435600.0,5.0,3.0,Detached,Bungalow,2025-05-02,3,42.6%,N/A,2057.0,,3.0,2.0,Detached,Bungalow,2025-04-03,193 (9.4%),nan (nan%),2.0,1.0,1,1,1,1,1.00,0.34
4723364,N/A,1254.0,609840.0,3.0,1.5,Detached,2 Storey,2025-02-13,1,56.5%,N/A,1300.0,3636.0,3.0,2.0,Detached,2 Storey,2025-02-07,46 (3.5%),606204 (16667.7%),0.0,0.5,1,1,1,1,1.00,0.68
4723364,N/A,1254.0,609840.0,3.0,1.5,Detached,2 Storey,2025-02-13,2,19.9%,N/A,1210.0,101.0,2.0,2.0,Detached,Bungalow,2025-03-07,44 (3.6%),609739 (597783.3%),1.0,0.5,1,0,1,1,0.70,0.69
4723364,N/A,1254.0,609840.0,3.0,1.5,Detached,2 Storey,2025-02-13,3,19.0%,N/A,1697.0,22200.0,3.0,1.0,Detached,Bungalow,2024-10-24,443 (26.1%),587640 (2646.9%),0.0,0.5,1,0,0,1,0.40,0.18
