Order ID,Subject Address,Subject GLA,Subject Lot Size,Subject Bedrooms,Subject Bathrooms,Subject Property Type,Subject Stories,Effective Date,Comp Rank,Match Score,Candidate Address,Candidate GLA,Candidate Lot Size,Candidate Bedrooms,Candidate Bathrooms,Candidate Property Type,Candidate Stories,Sale Date,GLA Difference,Lot Size Difference,Bedroom Difference,Bathroom Difference,Same Property Type,Same Storey Type,Recent Sale (90 days),Recent Sale (180 days),Property Match Score,Size Similarity
4760651,N/A,1354.0,3250.0,3.0,1.5,Detached,2 Storey,2025-04-15,1,14.0%,N/A,1268.0,9534.0,3.0,2.0,Detached,Split Level,2025-03-03,86 (6.8%),6284 (65.9%),0.0,0.5,1,0,1,1,0.70,0.54
4760651,N/A,1354.0,3250.0,3.0,1.5,Detached,2 Storey,2025-04-15,2,6.7%,N/A,960.0,9000.0,3.0,1.5,Detached,Bungalow,2025-04-14,394 (41.0%),5750 (63.9%),0.0,0.0,1,0,1,1,0.70,0.20
4760651,N/A,1354.0,3250.0,3.0,1.5,Detached,2 Storey,2025-04-15,3,5.4%,N/A,887.0,11400.0,5.0,2.5,Duplex,2 Storey,2025-05-09,467 (52.6%),8150 (71.5%),2.0,1.0,0,1,1,1,0.60,0.18
4760900,N/A,1573.4,4058.028,3.0,2.5,Detached,2 Storey,2025-04-10,1,95.6%,N/A,1731.0,2863.0,3.0,2.5,Detached,2 Storey,2025-02-04,158 (9.1%),1195 (41.7%),0.0,0.0,1,1,1,1,1.00,0.39
4760900,N/A,1573.4,4058.028,3.0,2.5,Detached,2 Storey,2025-04-10,2,83.1%,N/A,1440.0,3056.0,3.0,2.5,Detached,2 Storey,2025-04-16,133 (9.3%),1002 (32.8%),0.0,0.0,1,1,1,1,1.00,0.43
4760900,N/A,1573.4,4058.028,3.0,2.5,Detached,2 Storey,2025-04-10,3,82.8%,N/A,1440.0,2993.0,3.0,2.5,Detached,2 Storey,2025-05-07,133 (9.3%),1065 (35.6%),0.0,0.0,1,1,1,1,1.00,0.43
4742669,N/A,839.592,4639.284,2.0,2.0,Detached,Bungalow,2025-03-24,1,93.0%,N/A,839.0,5392.0,3.0,2.0,Detached,Bungalow,2024-12-26,1 (0.1%),753 (14.0%),1.0,0.0,1,1,1,1,1.00,0.99
4742669,N/A,839.592,4639.284,2.0,2.0,Detached,Bungalow,2025-03-24,2,48.4%,N/A,1078.0,4994.0,5.0,2.0,Detached,Bungalow,2025-02-05,238 (22.1%),355 (7.1%),3.0,0.0,1,1,1,1,1.00,0.30
4742669,N/A,839.592,4639.284,2.0,2.0,Detached,Bungalow,2025-03-24,3,43.0%,N/A,1031.0,5500.0,4.0,2.0,Detached,Bungalow,2025-02-07,191 (18.5%),861 (15.6%),2.0,0.0,1,1,1,1,1.00,0.34
4752865,N/A,2974.0,6512.219999999999,4.0,2.5,Detached,2 Storey,2025-04-07,1,17.5%,N/A,2164.0,4768.5,4.0,2.5,Detached,2 Storey,2025-04-14,810 (37.4%),1744 (36.6%),0.0,0.0,1,1,1,1,1.00,0.11
4752865,N/A,2974.0,6512.219999999999,4.0,2.5,Detached,2 Storey,2025-04-07,2,10.8%,N/A,1913.0,7001.2,3.0,2.5,Detached,2 Storey,2025-03-29,1061 (55.4%),489 (7.0%),1.0,0.0,1,1,1,1,1.00,0.09
