Order ID,Subject GLA,Subject Lot Size,Subject Bedrooms,Subject Bathrooms,Subject Property Type,Subject Stories,Effective Date,Rank,Ranking Score,Candidate GLA,Candidate Lot Size,Candidate Bedrooms,Candidate Bathrooms,Candidate Property Type,Candidate Stories,Sale Date,GLA Difference,Lot Size Difference,Bedroom Difference,Bathroom Difference,Same Property Type,Same Storey Type,Recent Sale (90 days),Size Similarity,Property Match Score,Total Difference Score,_score
4757939,968.76,6738.263999999999,2.0,2.0,Detached,Bungalow,2025-04-07,3,4.4360,940.0,5392.0,3.0,2.0,Detached,Bungalow,2025-05-09,29 (3.1%),1346,1.0,0.0,Yes,Yes,Yes,0.777,1.000,3.024,4.436
4757966,1039.0,,2.0,2.0,Low Rise Apartment,1 Storey,2025-04-07,1,-2.3218,944.0,,2.0,2.0,Condominium,,2025-01-16,95 (10.1%),nan,0.0,0.0,No,Yes,Yes,0.513,nan,4.425,2.3218
4757966,1039.0,,2.0,2.0,Low Rise Apartment,1 Storey,2025-04-07,2,-2.3218,1065.0,,2.0,2.0,Condominium,,2025-01-18,26 (2.4%),nan,0.0,0.0,No,Yes,Yes,0.794,nan,1.177,2.3218
4757966,1039.0,,2.0,2.0,Low Rise Apartment,1 Storey,2025-04-07,3,-2.3218,1208.0,3293.0,4.0,2.0,Semi Detached,Bi-Level,2025-01-28,169 (14.0%),nan,2.0,0.0,No,No,Yes,0.372,0.300,6.596,2.3218
4758025,2809.404,8191.404,4.0,3.5,Detached,2 Storey,2025-04-16,1,4.7108,2586.0,4768.0,4.0,3.5,Detached,2 Storey,2025-05-09,223 (8.6%),3423,0.0,0.0,Yes,Yes,Yes,0.309,1.000,3.856,4.7108
4758025,2809.404,8191.404,4.0,3.5,Detached,2 Storey,2025-04-16,2,4.4360,2899.0,6501.0,5.0,3.5,Detached,2 Storey,2025-02-14,90 (3.1%),1690,1.0,0.0,Yes,Yes,Yes,0.527,1.000,2.836,4.436
4758025,2809.404,8191.404,4.0,3.5,Detached,2 Storey,2025-04-16,3,4.4231,2584.0,5511.0,4.0,3.5,Detached,2 Storey,2025-01-16,225 (8.7%),2680,0.0,0.0,Yes,Yes,Yes,0.307,1.000,5.089,4.4231
4758316,789.0,,2.0,2.0,Condominium,1 Storey,2025-04-07,1,-0.3923,843.0,,2.0,2.0,Condominium,,2025-01-10,54 (6.4%),nan,0.0,0.0,Yes,Yes,Yes,0.649,nan,2.962,0.3923
4758316,789.0,,2.0,2.0,Condominium,1 Storey,2025-04-07,2,-0.3923,934.0,,2.0,2.0,Condominium,,2025-01-11,145 (15.5%),nan,0.0,0.0,Yes,Yes,Yes,0.408,nan,6.210,0.3923
4758316,789.0,,2.0,2.0,Condominium,1 Storey,2025-04-07,3,-0.3923,881.0,,2.0,2.0,Condominium,,2025-02-07,92 (10.4%),nan,0.0,0.0,Yes,Yes,Yes,0.521,nan,4.377,0.3923
4758324,1094.0,12600.0,3.0,2.0,Detached,1 Storey,2025-04-09,1,4.2626,1347.0,21357.0,2.0,2.0,Detached,1 Storey,2025-05-09,253 (18.8%),8757,1.0,0.0,Yes,Yes,Yes,0.283,1.000,7.713,4.2626
4758324,1094.0,12600.0,3.0,2.0,Detached,1 Storey,2025-04-09,2,4.1363,1257.0,37535.0,3.0,2.0,Detached,Bungalow,2025-03-25,163 (13.0%),24935,0.0,0.0,Yes,No,Yes,0.380,0.700,5.387,4.1363
4758324,1094.0,12600.0,3.0,2.0,Detached,1 Storey,2025-04-09,3,4.1363,1082.0,28747.0,2.0,2.0,Detached,1.5 Storey,2025-05-01,12 (1.1%),16147,1.0,0.0,Yes,No,Yes,0.893,0.700,0.644,4.1363
4758529,1176.0,,2.0,2.0,High Rise Apartment,1 Storey,2025-04-08,1,-4.2280,,2057.0,4.0,0.0,Semi Detached,2.5 Storey,2025-03-22,nan (0.0%),nan,2.0,2.0,No,No,Yes,nan,0.300,1.400,4.228
4758529,1176.0,,2.0,2.0,High Rise Apartment,1 Storey,2025-04-08,2,-4.2280,,2160.0,3.0,0.0,Semi Detached,2 Storey,2025-03-24,nan (0.0%),nan,1.0,2.0,No,No,Yes,nan,0.300,0.800,4.228
4758529,1176.0,,2.0,2.0,High Rise Apartment,1 Storey,2025-04-08,3,-4.2280,,,0.0,0.0,,,2025-04-13,nan (0.0%),nan,2.0,2.0,Yes,Yes,Yes,nan,nan,1.400,4.228
4758615,1334.0,3253.0,1.0,3.0,Townhouse,Bungalow,2025-04-08,1,4.6660,1484.0,2071.0,3.0,3.0,Townhouse,2 Storey,2025-02-18,150 (10.1%),1182,2.0,0.0,Yes,No,Yes,0.400,0.700,4.843,4.666
4758615,1334.0,3253.0,1.0,3.0,Townhouse,Bungalow,2025-04-08,2,4.4494,1561.0,1900.0,3.0,3.0,Townhouse,2 Storey,2025-02-21,227 (14.5%),1353,2.0,0.0,Yes,No,Yes,0.306,0.700,6.817,4.4494
4758615,1334.0,3253.0,1.0,3.0,Townhouse,Bungalow,2025-04-08,3,1.9306,1689.0,2592.0,3.0,4.0,Townhouse,2 Storey,2025-02-14,355 (21.0%),661,2.0,1.0,Yes,No,Yes,0.220,0.700,10.007,1.9306
4758672,2010.0,33661.0,3.0,2.5,Detached,2 Storey,2025-04-09,1,4.0936,2011.0,1777250.0,3.0,2.5,Detached,2 Storey,2025-03-25,1 (0.0%),1743589,0.0,0.0,Yes,Yes,Yes,0.990,1.000,0.220,4.0936
4758672,2010.0,33661.0,3.0,2.5,Detached,2 Storey,2025-04-09,2,3.9018,1865.0,72922.0,3.0,3.0,Detached,2 Storey,2025-04-15,145 (7.8%),39261,0.0,0.5,Yes,Yes,Yes,0.408,1.000,3.610,3.9018
