orderID,is_good_comp_predicted,probability_good_comp
4762597,0,0.03
4762597,0,0.03
4762597,0,0.0
4762597,0,0.09
4762597,0,0.01
4762597,0,0.03
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.01
4762597,0,0.01
4762597,0,0.03
4762597,0,0.01
4762597,0,0.01
4762597,0,0.01
4762597,0,0.0
4762597,0,0.02
4762597,0,0.01
4762597,0,0.03
4762597,0,0.0
4762597,0,0.04
4762597,0,0.06
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.07
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.04
4762597,0,0.04
4762597,0,0.02
4762597,0,0.08
4762597,0,0.11
4762597,0,0.0
4762597,0,0.03
4762597,0,0.03
4762597,0,0.01
4762597,0,0.0
4762597,0,0.0
4762597,0,0.09
4762597,0,0.05
4762597,0,0.0
4762597,0,0.05
4762597,0,0.0
4762597,0,0.0
4762597,0,0.01
4762597,0,0.02
4762597,0,0.0
4762597,0,0.0
4762597,0,0.01
4762597,0,0.03
4762597,0,0.02
4762597,0,0.03
4762597,0,0.01
4762597,0,0.01
4762597,0,0.04
4762597,0,0.13
4762597,0,0.07
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.03
4762597,0,0.0
4762597,0,0.01
4762597,0,0.0
4762597,0,0.01
4762597,0,0.06
4762597,0,0.06
4762597,0,0.01
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.02
4762597,0,0.04
4762597,0,0.0
4762597,0,0.01
4762597,0,0.01
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.05
4762597,0,0.0
4762597,0,0.0
4762597,0,0.04
4762597,0,0.03
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.04
4762597,0,0.0
4762597,0,0.01
4762597,0,0.0
4762597,0,0.0
4762597,0,0.0
4762597,0,0.04
4762597,0,0.01
4762597,0,0.02
4762597,0,0.01
4762597,0,0.0
