orderID,id,subject_address,subject_gla_clean,subject_bedrooms_clean,subject_bathrooms_clean,subject_room_count_clean,subject_lot_size_clean,subject_property_type_clean,subject_stories_clean,subject_effective_date_clean,candidate_address,candidate_gla_clean,candidate_bedrooms_clean,candidate_bathrooms_clean,candidate_room_count_clean,candidate_lot_size_clean,candidate_property_type_clean,candidate_stories_clean,candidate_close_date_clean,score,rank
4778794,77278,501 223 PRINCESS ST Kingston ON K7L0G8,665.0,2.0,2.0,5.0,,Condominium,1 Storey,2025-05-05,Unit 2 - 250 King St E ,550.0,1.0,2.0,4.0,,Condominium,2 Storey,2025-02-12,-2.328637,1.0
4778794,77720,501 223 PRINCESS ST Kingston ON K7L0G8,665.0,2.0,2.0,5.0,,Condominium,1 Storey,2025-05-05,Unit 403 - 315 Regent St ,950.0,2.0,1.0,6.0,,Condominium,,2025-02-07,-2.3667285,2.0
4778794,78256,501 223 PRINCESS ST Kingston ON K7L0G8,665.0,2.0,2.0,5.0,,Condominium,1 Storey,2025-05-05,Unit 701 - 121 Queen St ,850.0,2.0,1.0,7.0,,Condominium,,2025-03-05,-2.3667285,3.0
4778797,77278,718 223 PRINCESS ST Kingston ON K7L0G8,584.0,1.0,1.0,5.0,,Condominium,1 Storey,2025-05-05,Unit 2 - 250 King St E ,550.0,1.0,2.0,4.0,,Condominium,2 Storey,2025-02-12,-2.328637,1.0
4778797,102028,718 223 PRINCESS ST Kingston ON K7L0G8,584.0,1.0,1.0,5.0,,Condominium,1 Storey,2025-05-05,Unit 2 - 250 King Street E ,550.0,1.0,0.0,4.0,,Condominium,2 Storey,2025-02-12,-2.328637,2.0
4778797,77720,718 223 PRINCESS ST Kingston ON K7L0G8,584.0,1.0,1.0,5.0,,Condominium,1 Storey,2025-05-05,Unit 403 - 315 Regent St ,950.0,2.0,1.0,6.0,,Condominium,,2025-02-07,-2.3667285,3.0
4778326,97949,184 Sandpiper Cir NW Calgary AB T3K3P4,1746.79,3.0,2.5,7.0,8169.875999999999,Detached,Split Level,2025-05-05,44 Sanderling Rise NW ,1816.0,4.0,2.5,10.0,7405.0,Detached,Split Level,2025-02-19,3.0896237,1.0
4778326,98464,184 Sandpiper Cir NW Calgary AB T3K3P4,1746.79,3.0,2.5,7.0,8169.875999999999,Detached,Split Level,2025-05-05,308 Hidden Valley Landing NW ,1403.0,4.0,3.0,16.0,7448.0,Detached,Bungalow,2025-02-21,3.0896237,2.0
4778326,93823,184 Sandpiper Cir NW Calgary AB T3K3P4,1746.79,3.0,2.5,7.0,8169.875999999999,Detached,Split Level,2025-05-05,234 Sandstone Drive NW ,1104.0,5.0,3.0,14.0,5349.0,Detached,Split Level,2025-02-27,3.0896237,3.0
4758996,10480,160 Marquis Pl SE Airdrie AB T4A1Y7,1144.0,3.0,1.5,6.0,5823.324,Detached,Split Level,2025-04-09,10 Tipping Close SE ,2482.0,5.0,2.5,14.0,5186.0,Detached,2 Storey,2025-01-10,3.0896237,1.0
4758996,62562,160 Marquis Pl SE Airdrie AB T4A1Y7,1144.0,3.0,1.5,6.0,5823.324,Detached,Split Level,2025-04-09,272 Big Hill Circle SE ,956.0,2.0,1.0,6.0,4004.0,Detached,,2025-01-10,3.0896237,2.0
4758996,12943,160 Marquis Pl SE Airdrie AB T4A1Y7,1144.0,3.0,1.5,6.0,5823.324,Detached,Split Level,2025-04-09,36 Taylor Way SE ,1278.0,5.0,2.0,12.0,5044.0,Detached,Bi-Level,2025-01-13,3.0896237,3.0
4775785,22737,1841 Fisk Rd Odessa ON K0H2H0,2138.0,5.0,2.0,10.0,435600.0,Detached,2 Storey,2025-04-30,4232 Camden Portland Boundary Road ,2523.0,3.0,3.0,13.0,212592.0,Detached,Bungalow,2024-11-01,-2.3667285,1.0
4775785,1709,1841 Fisk Rd Odessa ON K0H2H0,2138.0,5.0,2.0,10.0,435600.0,Detached,2 Storey,2025-04-30,88 CUTLER Rd,2982.0,5.0,3.0,16.0,261360.0,Detached,1.5 Storey,2024-11-20,-2.3667285,2.0
4775785,3174,1841 Fisk Rd Odessa ON K0H2H0,2138.0,5.0,2.0,10.0,435600.0,Detached,2 Storey,2025-04-30,106 Brennan Cres,1750.0,3.0,3.0,3.0,5200.0,Detached,2 Storey,2024-11-26,-2.3667285,3.0
4775292,167412,64232 COUNTY RD 3 East Garafraxa ON L9W7J4,2250.0,5.0,3.0,10.0,435600.0,Detached,Bungalow,2025-05-02,6555 Third Line ,2113.0,3.0,2.0,17.0,16500.0,Detached,Bungalow,2024-11-27,-2.328637,1.0
4775292,178462,64232 COUNTY RD 3 East Garafraxa ON L9W7J4,2250.0,5.0,3.0,10.0,435600.0,Detached,Bungalow,2025-05-02,6135 Second Line ,1863.0,3.0,2.0,10.0,582008.0,Detached,Bungalow,2024-11-24,-2.3667285,2.0
4775292,203186,64232 COUNTY RD 3 East Garafraxa ON L9W7J4,2250.0,5.0,3.0,10.0,435600.0,Detached,Bungalow,2025-05-02,6224 Fifth Line ,1704.0,3.0,2.5,11.0,452800.0,Detached,2 Storey,2024-11-26,-2.3667285,3.0
4723364,109775,1050 John F. Scott Rd Kingston ON K7L4V3,1254.0,3.0,1.5,7.0,609840.0,Detached,2 Storey,2025-02-13,1984 Downsview Drive ,1166.0,3.0,1.0,10.0,14350.0,Detached,Bungalow,2024-11-22,-2.328637,1.0
4723364,77566,1050 John F. Scott Rd Kingston ON K7L4V3,1254.0,3.0,1.5,7.0,609840.0,Detached,2 Storey,2025-02-13,977 Rainbow Cres ,1300.0,3.0,2.0,8.0,3636.0,Detached,2 Storey,2025-02-07,-2.328637,2.0
4723364,78933,1050 John F. Scott Rd Kingston ON K7L4V3,1254.0,3.0,1.5,7.0,609840.0,Detached,2 Storey,2025-02-13,1220 Cyprus Rd ,1210.0,2.0,2.0,8.0,101.0,Detached,Bungalow,2025-03-07,-2.328637,3.0
