orderID,subj_gla,gla_clean_x,gla_diff,subj_lot_size,lot_size_clean_x,lot_size_diff,subj_bedrooms,bedrooms_clean_x,bedroom_diff,subj_bathrooms,bathrooms_clean_x,bathroom_diff,subj_room_count,room_count_clean_x,room_count_diff,subj_property_type,property_type_clean_x,same_property_type,subj_stories,stories_clean_x,same_storey_type,sale_date_clean,sold_recently_90,sold_recently_180,label,close_date_clean_subject,score,id,address_subject,subject_city_province_zip,effective_date,lot_size_sf_subject,year_built_subject,structure_type_subject,style_subject,gla_subject,room_count_subject,num_beds,num_baths,room_total,main_lvl_area,property_type_clean_y,stories_clean_y,lot_size_clean_y,gla_clean_y,room_count_clean_y,bedrooms_clean_y,bathrooms_clean_y,effective_date_clean,address_candidate,city,province,postal_code,gla_candidate,room_count_candidate,bedrooms,bathrooms_clean,year_built_candidate,structure_type_candidate,style_candidate,property_type_clean,stories_clean,lot_size_sf_candidate,close_date_clean_candidate,gla_clean,room_count_clean,bedrooms_clean,lot_size_clean
4765899,1488.0,1586.0,98.0,3685.0,3240.0,445.0,3.0,3.0,0.0,3.5,3.0,0.5,6.0,10.0,4.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,,1,1,0,2025-02-02,0.0066736396,4181.0,1753 Reginald Bart Dr Kingston ON K7K0E9,Kingston ON K7K0E9,Apr/16/2025,"3,685 SqFt",2013,Detached,2 Storey,1488 SqFt,6.0,3,3:1,6.0,858,Detached,2 Storey,3685.0,1488.0,6.0,3.0,3.5,2025-04-16,433 Maureen St,Kingston,Ontario,K7K 7M2,1586.0,10.0,3.0,3.0,,Detached,2-Storey,Detached,2 Storey,3240.0,2025-02-02,1586.0,10.0,3.0,3240.0
4765899,1488.0,1629.0,141.0,3685.0,4291.0,606.0,3.0,4.0,1.0,3.5,3.5,0.0,6.0,15.0,9.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-03-31,1,1,1,,-0.45769215,,1753 Reginald Bart Dr Kingston ON K7K0E9,Kingston ON K7K0E9,Apr/16/2025,"3,685 SqFt",2013,Detached,2 Storey,1488 SqFt,6.0,3,3:1,6.0,858,Detached,2 Storey,3685.0,1488.0,6.0,3.0,3.5,2025-04-16,,,,,,,,,,,,,,,,,,,
4772017,1149.0,1189.04,40.03999999999997,3573.6479999999997,3326.076,247.5719999999997,3.0,3.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,Detached,Detached,1.0,Bi-Level,Bi-Level,1.0,2025-04-25,1,1,1,,3.0626671,,323 TARACOVE ESTATE DR NE Calgary AB T3J5A1,Calgary AB T3J5A1,Apr/30/2025,332 SqM,2004,Detached,Bi-Level,1149 SqFt,6.0,3,2F,6.0,1149,Detached,Bi-Level,3573.6479999999997,1149.0,6.0,3.0,2.0,2025-04-30,,,,,,,,,,,,,,,,,,,
4772017,1149.0,1259.0,110.0,3573.6479999999997,4477.824,904.176,3.0,3.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,Detached,Detached,1.0,Bi-Level,Split Level,0.0,2025-03-25,1,1,1,,1.3656793,,323 TARACOVE ESTATE DR NE Calgary AB T3J5A1,Calgary AB T3J5A1,Apr/30/2025,332 SqM,2004,Detached,Bi-Level,1149 SqFt,6.0,3,2F,6.0,1149,Detached,Bi-Level,3573.6479999999997,1149.0,6.0,3.0,2.0,2025-04-30,,,,,,,,,,,,,,,,,,,
4772017,1149.0,1120.0,29.0,3573.6479999999997,5317.415999999999,1743.7679999999996,3.0,1.0,2.0,2.0,1.5,0.5,6.0,5.0,1.0,Detached,Detached,1.0,Bi-Level,Bi-Level,1.0,2025-02-18,1,1,1,,1.0951816,,323 TARACOVE ESTATE DR NE Calgary AB T3J5A1,Calgary AB T3J5A1,Apr/30/2025,332 SqM,2004,Detached,Bi-Level,1149 SqFt,6.0,3,2F,6.0,1149,Detached,Bi-Level,3573.6479999999997,1149.0,6.0,3.0,2.0,2025-04-30,,,,,,,,,,,,,,,,,,,
4772152,1372.0,1030.0,342.0,4101.084,3659.0,442.08399999999983,3.0,,0.0,1.5,1.5,0.0,8.0,9.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,,1,1,0,2025-03-13,2.2980142,98624.0,9449 Hidden Valley Dr NW Calgary AB T3A5T1,Calgary AB T3A5T1,Apr/25/2025,381 SqM,1998,Detached,2 Storey,1372 SqFt,8.0,3,1:1,8.0,579,Detached,2 Storey,4101.084,1372.0,8.0,3.0,1.5,2025-04-25,41 Hidden Hills Way NW ,Calgary ,Alberta,T3A 5T1,1030.0,9.0,,1.5,1997.0,Detached,2 Storey ,Detached,2 Storey,3659.0,2025-03-13,1030.0,9.0,,3659.0
4772152,1372.0,1822.0,450.0,4101.084,5597.0,1495.9160000000002,3.0,3.0,0.0,1.5,2.5,1.0,8.0,9.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,,1,1,0,2025-05-01,0.64209294,282839.0,9449 Hidden Valley Dr NW Calgary AB T3A5T1,Calgary AB T3A5T1,Apr/25/2025,381 SqM,1998,Detached,2 Storey,1372 SqFt,8.0,3,1:1,8.0,579,Detached,2 Storey,4101.084,1372.0,8.0,3.0,1.5,2025-04-25,13 Hidden Ranch Boulevard NW ,Calgary ,Alberta,T3A 5N6,1822.0,9.0,3.0,2.5,1995.0,Detached,2 Storey ,Detached,2 Storey,5597.0,2025-05-01,1822.0,9.0,3.0,5597.0
4772152,1372.0,1548.0,176.0,4101.084,11.64,4089.444,3.0,3.0,0.0,1.5,2.5,1.0,8.0,7.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-03,1,1,1,,0.41385996,,9449 Hidden Valley Dr NW Calgary AB T3A5T1,Calgary AB T3A5T1,Apr/25/2025,381 SqM,1998,Detached,2 Storey,1372 SqFt,8.0,3,1:1,8.0,579,Detached,2 Storey,4101.084,1372.0,8.0,3.0,1.5,2025-04-25,,,,,,,,,,,,,,,,,,,
4773295,1675.0,1700.0,25.0,21780.0,34600.0,12820.0,2.0,3.0,1.0,1.5,2.0,0.5,6.0,7.0,1.0,Detached,Detached,1.0,1 Storey,1 Storey,1.0,2025-05-02,1,1,1,,1.9037669,,52 Pyle Rd Lowbanks ON N0A1K0,Lowbanks ON N0A1K0,May/02/2025,0.5ac,1950,Detached,1 Storey,1675 SqFt,6.0,2,1:1,6.0,1675,Detached,1 Storey,21780.0,1675.0,6.0,2.0,1.5,2025-05-02,,,,,,,,,,,,,,,,,,,
4773295,1675.0,1560.0,115.0,21780.0,107120.0,85340.0,2.0,3.0,1.0,1.5,1.0,0.5,6.0,7.0,1.0,Detached,Detached,1.0,1 Storey,1 Storey,1.0,2024-12-11,0,1,1,,1.2056272,,52 Pyle Rd Lowbanks ON N0A1K0,Lowbanks ON N0A1K0,May/02/2025,0.5ac,1950,Detached,1 Storey,1675 SqFt,6.0,2,1:1,6.0,1675,Detached,1 Storey,21780.0,1675.0,6.0,2.0,1.5,2025-05-02,,,,,,,,,,,,,,,,,,,
