orderID,id,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,subj_room_count,room_count_clean,room_count_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,sold_recently_90,sold_recently_180,pred,close_price,rank
4757939,62564.0,968.76,711.0,257.76,6738.263999999999,4499.0,2239.263999999999,Detached,Detached,1.0,Bungalow,Bungalow,1.0,5.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1,1,0.4981668,590000.0,2
4757939,93741.0,968.76,672.0,296.76,6738.263999999999,4014.0,2724.263999999999,Detached,Detached,1.0,Bungalow,Bungalow,1.0,5.0,7.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1,1,0.32961807,650000.0,3
4757966,262125.0,1039.0,954.0,85.0,,,,Condominium,Condominium,1.0,1 Storey,,,5.0,6.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,1,1,0.18272798,362500.0,1
4757966,267109.0,1039.0,955.0,84.0,,,,Condominium,Condominium,1.0,1 Storey,,,5.0,6.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,1,1,0.18272798,384000.0,2
4757966,64188.0,1039.0,1065.0,26.0,,,,Condominium,Condominium,1.0,1 Storey,,,5.0,6.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,1,1,-0.28849846,390000.0,3
4758025,284259.0,2809.404,1836.0,973.404,8191.404,4135.0,4056.404000000001,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,10.0,1.0,4.0,4.0,0.0,3.5,3.5,0.0,1,1,0.37629503,829000.0,1
4758025,289533.0,2809.404,2586.0,223.404,8191.404,4768.0,3423.4040000000005,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,11.0,2.0,4.0,4.0,0.0,3.5,3.5,0.0,1,1,0.3294298,960000.0,2
4758025,265840.0,2809.404,2284.0,525.404,8191.404,4337.0,3854.404000000001,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,10.0,1.0,4.0,4.0,0.0,3.5,3.5,0.0,1,1,0.2737668,900000.0,3
4758316,29656.0,789.0,876.0,87.0,,,,Condominium,Condominium,1.0,1 Storey,,,5.0,5.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1,1,0.18272798,382000.0,1
4758316,79238.0,789.0,876.0,87.0,,,,Condominium,Condominium,1.0,1 Storey,,,5.0,6.0,1.0,2.0,,,2.0,2.0,0.0,1,1,0.13208646,350000.0,2
4758316,4303.0,789.0,881.0,92.0,,,,Condominium,Condominium,1.0,1 Storey,,,5.0,6.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,1,1,0.10935258,402500.0,3
4758324,299009.0,1094.0,1347.0,253.0,12600.0,21357.0,8757.0,Detached,Detached,1.0,1 Storey,1 Storey,1.0,6.0,6.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,1,1,0.6230687,599900.0,1
4758324,304137.0,1094.0,1082.0,12.0,12600.0,28747.0,16147.0,Detached,Detached,1.0,1 Storey,1.5 Storey,0.0,6.0,6.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,1,1,0.2638054,,2
4758324,304085.0,1094.0,1257.0,163.0,12600.0,37535.0,24935.0,Detached,Detached,1.0,1 Storey,Bungalow,0.0,6.0,7.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,1,1,0.2130408,,3
4758529,261575.0,1176.0,950.0,226.0,,,,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,6.0,5.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,1,1,-0.17311491,860000.0,1
4758529,177262.0,1176.0,750.0,426.0,,,,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,6.0,5.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1,1,-0.31713668,895000.0,2
4758529,277587.0,1176.0,850.0,326.0,,,,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,6.0,5.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1,1,-0.3542644,645000.0,3
4758615,77186.0,1334.0,1484.0,150.0,3253.0,2071.0,1182.0,Townhouse,Townhouse,1.0,Bungalow,2 Storey,0.0,5.0,7.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,1,1,0.06634487,550000.0,1
4758615,76962.0,1334.0,1561.0,227.0,3253.0,1900.0,1353.0,Townhouse,Townhouse,1.0,Bungalow,2 Storey,0.0,5.0,8.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0,1,1,-0.33110514,590000.0,2
4758615,77308.0,1334.0,1689.0,355.0,3253.0,2592.0,661.0,Townhouse,Townhouse,1.0,Bungalow,2 Storey,0.0,5.0,10.0,5.0,1.0,3.0,2.0,3.0,4.0,1.0,1,1,-0.544625,661000.0,3
4758672,295621.0,2010.0,1890.0,120.0,33661.0,451282.0,417621.0,Detached,Detached,1.0,2 Storey,Bungalow,0.0,9.0,9.0,0.0,3.0,3.0,0.0,2.5,2.0,0.5,0,1,0.45746312,635000.0,1
4758672,296584.0,2010.0,2011.0,1.0,33661.0,1777250.0,1743589.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,8.0,1.0,3.0,3.0,0.0,2.5,2.5,0.0,1,1,0.37045473,1444800.0,2
4758672,299656.0,2010.0,1865.0,145.0,33661.0,72922.0,39261.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,11.0,2.0,3.0,3.0,0.0,2.5,3.0,0.5,1,1,0.36997744,850000.0,3
4758996,12174.0,1144.0,1335.0,191.0,5823.324,3346.0,2477.324,Detached,Detached,1.0,Split Level,2 Storey,0.0,6.0,5.0,1.0,3.0,3.0,0.0,1.5,1.5,0.0,1,1,0.4560302,514000.0,1
