orderID,subject_gla,subject_lot_size,subject_bedrooms,subject_bathrooms,subject_property_type,subject_stories,subject_effective_date,rank,probability_score,candidate_gla,candidate_lot_size,candidate_bedrooms,candidate_bathrooms,candidate_property_type,candidate_stories,candidate_sale_date,gla_difference,lot_size_difference,bedroom_difference,bathroom_difference,is_same_property_type,is_same_storey_type,sold_within_90_days,sold_within_180_days
4758025,2809.404,8191.404,4.0,3.5,Detached,2 Storey,2025-04-16,1,0.35100001096725464,3217.0,8514.0,5.0,4.5,Detached,2 Storey,2025-05-09,407.596,322.596,1.0,1.0,1.0,1.0,1,1
4758025,2809.404,8191.404,4.0,3.5,Detached,2 Storey,2025-04-16,2,0.3100000023841858,1524.0,6705.0,2.0,3.0,Detached,Bungalow,2025-03-25,1285.404,1486.404,2.0,0.5,1.0,0.0,1,1
4758025,2809.404,8191.404,4.0,3.5,Detached,2 Storey,2025-04-16,3,0.2809999883174896,2586.0,4768.0,4.0,3.5,Detached,2 Storey,2025-05-09,223.404,3423.404,0.0,0.0,1.0,1.0,1,1
4758316,789.0,,2.0,2.0,Condominium,1 Storey,2025-04-07,1,0.8709999918937683,881.0,,2.0,2.0,Condominium,,2025-02-07,92.0,,0.0,0.0,1.0,,1,1
4758316,789.0,,2.0,2.0,Condominium,1 Storey,2025-04-07,2,0.8399999737739563,876.0,,2.0,2.0,Condominium,,2025-02-13,87.0,,0.0,0.0,1.0,,1,1
4758316,789.0,,2.0,2.0,Condominium,1 Storey,2025-04-07,3,0.8360000252723694,881.0,,2.0,2.0,Condominium,,2025-02-13,92.0,,0.0,0.0,1.0,,1,1
4758324,1094.0,12600.0,3.0,2.0,Detached,1 Storey,2025-04-09,1,0.9309999942779541,1347.0,21357.0,2.0,2.0,Detached,1 Storey,2025-05-09,253.0,8757.0,1.0,0.0,1.0,1.0,1,1
4758324,1094.0,12600.0,3.0,2.0,Detached,1 Storey,2025-04-09,2,0.8069999814033508,1260.0,80150.0,3.0,1.5,Detached,1 Storey,2025-01-31,166.0,67550.0,0.0,0.5,1.0,1.0,1,1
4758324,1094.0,12600.0,3.0,2.0,Detached,1 Storey,2025-04-09,3,0.6539999842643738,1257.0,37535.0,3.0,2.0,Detached,Bungalow,2025-03-25,163.0,24935.0,0.0,0.0,1.0,0.0,1,1
4758529,1176.0,,2.0,2.0,High Rise Apartment,1 Storey,2025-04-08,1,0.0020000000949949026,850.0,,2.0,0.0,Condominium,1 Storey,2025-04-22,326.0,,0.0,2.0,0.0,1.0,1,1
4758529,1176.0,,2.0,2.0,High Rise Apartment,1 Storey,2025-04-08,2,0.0010000000474974513,1193.0,1092.0,3.0,0.0,Townhouse,2 Storey,2025-03-05,17.0,,1.0,2.0,0.0,0.0,1,1
4758529,1176.0,,2.0,2.0,High Rise Apartment,1 Storey,2025-04-08,3,0.0010000000474974513,1100.0,,2.0,0.0,Condominium,,2025-01-09,76.0,,0.0,2.0,0.0,,1,1
4758615,1334.0,3253.0,1.0,3.0,Townhouse,Bungalow,2025-04-08,1,0.7110000252723694,1484.0,2071.0,3.0,3.0,Townhouse,2 Storey,2025-02-18,150.0,1182.0,2.0,0.0,1.0,0.0,1,1
4758615,1334.0,3253.0,1.0,3.0,Townhouse,Bungalow,2025-04-08,2,0.12600000202655792,1561.0,1900.0,3.0,3.0,Townhouse,2 Storey,2025-02-21,227.0,1353.0,2.0,0.0,1.0,0.0,1,1
4758615,1334.0,3253.0,1.0,3.0,Townhouse,Bungalow,2025-04-08,3,0.014000000432133675,1393.0,3045.0,2.0,0.0,Townhouse,Bungalow,2025-01-31,59.0,208.0,1.0,3.0,1.0,1.0,1,1
4758672,2010.0,33661.0,3.0,2.5,Detached,2 Storey,2025-04-09,1,0.953000009059906,1693.0,28176.0,5.0,2.5,Detached,2 Storey,2025-01-17,317.0,5485.0,2.0,0.0,1.0,1.0,1,1
4758672,2010.0,33661.0,3.0,2.5,Detached,2 Storey,2025-04-09,2,0.7990000247955322,2011.0,1777250.0,3.0,2.5,Detached,2 Storey,2025-03-25,1.0,1743589.0,0.0,0.0,1.0,1.0,1,1
4758672,2010.0,33661.0,3.0,2.5,Detached,2 Storey,2025-04-09,3,0.75,1865.0,72922.0,3.0,3.0,Detached,2 Storey,2025-04-15,145.0,39261.0,0.0,0.5,1.0,1.0,1,1
4758996,1144.0,5823.324,3.0,1.5,Detached,Split Level,2025-04-09,1,0.902999997138977,1216.0,4133.0,3.0,2.0,Detached,,2025-05-04,72.0,1690.324,0.0,0.5,1.0,,1,1
4758996,1144.0,5823.324,3.0,1.5,Detached,Split Level,2025-04-09,2,0.8519999980926514,1148.0,4413.0,3.0,1.5,Detached,Bungalow,2025-03-19,4.0,1410.324,0.0,0.0,1.0,0.0,1,1
4758996,1144.0,5823.324,3.0,1.5,Detached,Split Level,2025-04-09,3,0.6690000295639038,991.0,4437.0,3.0,2.0,Detached,Bi-Level,2025-05-08,153.0,1386.324,0.0,0.5,1.0,0.0,1,1
4759024,2647.944,4929.911999999999,5.0,4.0,Detached,2 Storey,2025-04-07,1,0.9549999833106995,2338.0,3344.0,4.0,3.0,Detached,2 Storey,2025-03-03,309.944,1585.912,1.0,1.0,1.0,1.0,1,1
4759024,2647.944,4929.911999999999,5.0,4.0,Detached,2 Storey,2025-04-07,2,0.6790000200271606,2250.0,6534.0,4.0,3.5,Detached,2 Storey,2025-01-29,397.944,1604.088,1.0,0.5,1.0,1.0,1,1
4759024,2647.944,4929.911999999999,5.0,4.0,Detached,2 Storey,2025-04-07,3,0.5090000033378601,2270.0,4370.0,4.0,4.0,Detached,2 Storey,2025-01-20,377.944,559.912,1.0,0.0,1.0,1.0,1,1
4759088,1400.0,37374.0,3.0,2.0,Detached,Bungalow Raised,2025-04-11,1,0.859000027179718,864.0,48085.0,3.0,2.0,Detached,Split Level,2024-10-18,536.0,10711.0,0.0,0.0,1.0,0.0,0,1
4759088,1400.0,37374.0,3.0,2.0,Detached,Bungalow Raised,2025-04-11,2,0.8360000252723694,1026.0,43560.0,3.0,1.5,Detached,Bungalow,2024-11-01,374.0,6186.0,0.0,0.5,1.0,0.0,0,1
4759088,1400.0,37374.0,3.0,2.0,Detached,Bungalow Raised,2025-04-11,3,0.703000009059906,1350.0,30719.0,3.0,1.0,Detached,2 Storey,2024-11-28,50.0,6655.0,0.0,1.0,1.0,0.0,0,1
4759260,864.0,15936.0,3.0,1.0,Detached,1 Storey,2025-04-09,1,0.9229999780654907,625.0,68900.0,2.0,1.0,Detached,1 Storey,2025-03-21,239.0,52964.0,1.0,0.0,1.0,1.0,1,1
4759260,864.0,15936.0,3.0,1.0,Detached,1 Storey,2025-04-09,2,0.6800000071525574,1260.0,80150.0,3.0,1.5,Detached,1 Storey,2025-01-31,396.0,64214.0,0.0,0.5,1.0,1.0,1,1
4759260,864.0,15936.0,3.0,1.0,Detached,1 Storey,2025-04-09,3,0.4259999990463257,1620.0,6421.0,4.0,1.5,Detached,2 Storey,2024-11-15,756.0,9515.0,1.0,0.5,1.0,0.0,0,1
4759498,1774.0,3137.0,3.0,3.5,Detached,2 Storey,2025-04-08,1,0.765999972820282,1901.0,3640.0,3.0,3.0,Detached,2 Storey,2025-03-04,127.0,503.0,0.0,0.5,1.0,1.0,1,1
4759498,1774.0,3137.0,3.0,3.5,Detached,2 Storey,2025-04-08,2,0.3889999985694885,2176.0,3465.0,4.0,3.0,Detached,2 Storey,2025-02-20,402.0,328.0,1.0,0.5,1.0,1.0,1,1
4759498,1774.0,3137.0,3.0,3.5,Detached,2 Storey,2025-04-08,3,0.3100000023841858,1572.0,3248.0,3.0,3.0,Detached,2 Storey,2025-03-06,202.0,111.0,0.0,0.5,1.0,1.0,1,1
4759512,1795.0,6300.0,3.0,1.5,Detached,1.5 Storey,2025-04-09,1,0.9430000185966492,1685.0,4799.0,3.0,1.5,Detached,2 Storey,2025-05-08,110.0,1501.0,0.0,0.0,1.0,0.0,1,1
4759512,1795.0,6300.0,3.0,1.5,Detached,1.5 Storey,2025-04-09,2,0.3199999928474426,1423.0,5000.0,3.0,1.5,Detached,2 Storey,2025-04-10,372.0,1300.0,0.0,0.0,1.0,0.0,1,1
4759512,1795.0,6300.0,3.0,1.5,Detached,1.5 Storey,2025-04-09,3,0.27300000190734863,1363.0,3502.0,3.0,1.5,Detached,2 Storey,2025-02-13,432.0,2798.0,0.0,0.0,1.0,0.0,1,1
4759561,3137.0,14375.0,5.0,4.0,Duplex,2 Storey,2025-04-08,1,0.006000000052154064,1201.0,12916.0,1.0,2.0,Detached,Bungalow,2025-04-22,1936.0,1459.0,4.0,2.0,0.0,0.0,1,1
4759561,3137.0,14375.0,5.0,4.0,Duplex,2 Storey,2025-04-08,2,0.0020000000949949026,2462.0,0.0,4.0,3.5,Detached,2 Storey,2025-03-18,675.0,14375.0,1.0,0.5,0.0,1.0,1,1
4759561,3137.0,14375.0,5.0,4.0,Duplex,2 Storey,2025-04-08,3,0.0020000000949949026,3638.0,20912.0,3.0,4.5,Detached,2.5 Storey,2025-02-18,501.0,6537.0,2.0,0.5,0.0,0.0,1,1
4759562,1132.0,3500.0,3.0,1.5,Semi Detached,2 Storey,2025-04-08,1,0.8460000157356262,1536.0,4744.0,4.0,2.5,Semi Detached,2 Storey,2025-04-22,404.0,1244.0,1.0,1.0,1.0,1.0,1,1
4759562,1132.0,3500.0,3.0,1.5,Semi Detached,2 Storey,2025-04-08,2,0.746999979019165,1056.0,6323.0,3.0,2.5,Semi Detached,2 Storey,2025-04-28,76.0,2823.0,0.0,1.0,1.0,1.0,1,1
4759562,1132.0,3500.0,3.0,1.5,Semi Detached,2 Storey,2025-04-08,3,0.5979999899864197,1243.0,3257.0,3.0,1.5,Semi Detached,2 Storey,2025-04-30,111.0,243.0,0.0,0.0,1.0,1.0,1,1
4759604,1788.0,14232.0,3.0,1.5,Detached,2 Storey,2025-04-10,1,0.9850000143051147,1475.0,8100.0,3.0,1.5,Detached,2 Storey,2025-02-05,313.0,6132.0,0.0,0.0,1.0,1.0,1,1
4759604,1788.0,14232.0,3.0,1.5,Detached,2 Storey,2025-04-10,2,0.9729999899864197,1762.0,5733.0,4.0,1.5,Detached,2 Storey,2025-04-02,26.0,8499.0,1.0,0.0,1.0,1.0,1,1
4759604,1788.0,14232.0,3.0,1.5,Detached,2 Storey,2025-04-10,3,0.7250000238418579,1620.0,5000.0,4.0,2.0,Detached,2 Storey,2025-03-11,168.0,9232.0,1.0,0.5,1.0,1.0,1,1
4759647,2264.0,33943.0,4.0,2.5,Detached,2 Storey,2025-04-10,1,0.8809999823570251,1664.0,82700.0,3.0,2.5,Detached,2 Storey,2025-02-14,600.0,48757.0,1.0,0.0,1.0,1.0,1,1
4759647,2264.0,33943.0,4.0,2.5,Detached,2 Storey,2025-04-10,2,0.8629999756813049,2160.0,57400.0,4.0,2.5,Detached,2 Storey,2024-11-18,104.0,23457.0,0.0,0.0,1.0,1.0,0,1
4759647,2264.0,33943.0,4.0,2.5,Detached,2 Storey,2025-04-10,3,0.8360000252723694,1825.0,53687.0,3.0,2.5,Detached,2 Storey,2025-04-30,439.0,19744.0,1.0,0.0,1.0,1.0,1,1
4759723,2530.0,5987.0,3.0,3.5,Detached,2 Storey,2025-04-09,1,0.9660000205039978,2488.0,5433.78,4.0,3.5,Detached,2 Storey,2025-01-16,42.0,553.22,1.0,0.0,1.0,1.0,1,1
4759723,2530.0,5987.0,3.0,3.5,Detached,2 Storey,2025-04-09,2,0.42399999499320984,2703.0,4746.0,4.0,4.0,Detached,2 Storey,2025-02-10,173.0,1241.0,1.0,0.5,1.0,1.0,1,1
4759723,2530.0,5987.0,3.0,3.5,Detached,2 Storey,2025-04-09,3,0.052000001072883606,2108.0,2952.0,3.0,4.0,Detached,2 Storey,2025-02-07,422.0,3035.0,0.0,0.5,1.0,1.0,1,1
4759846,1637.0,6000.0,3.0,1.5,Detached,Split Level,2025-04-14,1,0.3449999988079071,1495.0,89232.0,3.0,1.5,Detached,,2025-04-09,142.0,83232.0,0.0,0.0,1.0,,1,1
4759846,1637.0,6000.0,3.0,1.5,Detached,Split Level,2025-04-14,2,0.3059999942779541,844.0,4321.0,1.0,1.0,Detached,Bungalow,2025-03-24,793.0,1679.0,2.0,0.5,1.0,0.0,1,1
4759846,1637.0,6000.0,3.0,1.5,Detached,Split Level,2025-04-14,3,0.2939999997615814,1510.0,5427.0,3.0,2.0,Detached,2 Storey,2025-04-21,127.0,573.0,0.0,0.5,1.0,0.0,1,1
4760530,2149.0,438082.92,4.0,3.5,Detached,Bungalow Raised,2025-04-14,1,0.013000000268220901,2750.0,4120.0,6.0,0.0,Detached,2 Storey,2025-03-24,601.0,433962.92,2.0,3.5,1.0,0.0,1,1
